,id_aeroporto,data,C_data,A_effettoSulVolo,id_specie_volatile_c,id_gruppo,C_numeroVolatiliColpiti,C_partiColpite
1116,7,2016-04-24 00:00:00,2016-04-24 08:48:00,,14,12.0,1.0,Nose
1181,7,2016-07-29 00:00:00,2016-07-29 17:03:00,,14,12.0,1.0,Radome
1192,7,2016-08-12 00:00:00,2016-08-12 11:56:00,,14,12.0,1.0,
1193,7,2016-08-13 00:00:00,2016-08-13 10:45:00,,14,12.0,1.0,Nose
1199,7,2016-08-18 00:00:00,2016-08-18 18:12:00,,1301,14.0,4.0,Nose
1200,7,2016-08-18 00:00:00,2016-07-30 08:27:00,,38,8.0,1.0,Fuselage
1201,7,2016-08-18 00:00:00,2016-07-13 12:40:00,,14,12.0,,
1202,7,2016-07-02 00:00:00,2016-07-02 11:42:00,Nessuno,14,12.0,1.0,Nose
1210,7,2016-08-28 00:00:00,2016-08-28 10:39:00,,14,12.0,1.0,Nose
1216,7,2016-09-07 00:00:00,2016-08-06 13:15:00,,14,12.0,1.0,Wing/Rotor
1218,7,2016-08-07 00:00:00,2016-08-07 13:18:00,,14,12.0,1.0,Nose
1219,7,2016-09-07 00:00:00,2016-09-07 14:34:00,,14,12.0,1.0,Nose
1251,7,2016-09-18 00:00:00,2016-09-18 14:50:00,,38,8.0,1.0,Engine 1
1254,7,2016-08-06 00:00:00,2016-08-06 09:29:00,,14,12.0,3.0,Wing/Rotor
1255,7,2016-08-11 00:00:00,2016-08-11 12:54:00,,25,13.0,1.0,Landing Gear
1256,7,2016-08-11 00:00:00,2016-08-11 15:00:00,,14,12.0,1.0,
1257,7,2016-08-13 00:00:00,2016-08-13 10:26:00,,14,12.0,1.0,Nose
1258,7,2016-08-22 00:00:00,2016-08-22 14:26:00,,14,12.0,1.0,Fuselage
1259,7,2016-08-22 00:00:00,2016-08-22 09:25:00,,14,12.0,1.0,Windshield
1260,7,2016-08-22 00:00:00,2016-08-22 08:12:00,,14,12.0,,
1261,7,2016-08-22 00:00:00,2016-08-22 16:15:00,,14,12.0,,
1265,7,2016-09-07 00:00:00,2016-09-07 07:35:00,Nessuno,25,13.0,5.0,Nose
1280,7,2017-04-20 00:00:00,2017-04-20 15:18:00,Nessuno,7,6.0,1.0,Engine 1
1282,7,2017-05-02 00:00:00,2017-05-02 12:22:00,,14,12.0,1.0,Fuselage
1283,7,2017-05-02 00:00:00,2017-05-02 14:56:00,,13,12.0,,
1302,7,2017-05-23 00:00:00,2017-05-23 17:40:00,,1440,10.0,1.0,Fuselage
1317,7,2017-06-15 00:00:00,2017-05-04 09:24:00,,39,5.0,1.0,
1322,7,2017-06-19 00:00:00,2017-06-19 09:15:00,Nessuno,13,12.0,1.0,Nose
1333,7,2017-06-30 00:00:00,2017-06-30 09:30:00,,1121,13.0,1.0,
1349,7,2017-07-20 00:00:00,2017-07-20 11:30:00,,5,3.0,1.0,Fuselage
1355,7,2017-07-28 00:00:00,2017-07-28 14:16:00,Nessuno,14,12.0,1.0,Fuselage
1356,7,2017-07-28 00:00:00,2017-07-28 16:48:00,,14,12.0,1.0,Nose
1358,7,2017-07-31 00:00:00,2017-07-31 10:10:00,,14,12.0,7.0,Fuselage
1359,7,2017-07-31 00:00:00,2017-07-31 10:45:00,,14,12.0,1.0,Fuselage
1361,7,2017-08-01 00:00:00,2017-06-14 19:15:00,,13,12.0,1.0,Windshield
1362,7,2017-08-02 00:00:00,2017-08-02 18:05:00,,14,12.0,1.0,Fuselage
1363,7,2017-08-03 00:00:00,2017-08-03 13:26:00,,14,12.0,1.0,
1364,7,2017-08-04 00:00:00,2017-08-04 18:43:00,Nessuno,14,12.0,1.0,Nose
1365,7,2017-08-05 00:00:00,2017-08-05 10:43:00,Nessuno,14,12.0,1.0,Nose
1366,7,2017-08-05 00:00:00,2017-08-05 13:13:00,,14,12.0,1.0,Nose
1367,7,2017-08-05 00:00:00,2017-08-05 14:47:00,,14,12.0,1.0,Fuselage
1368,7,2017-08-06 00:00:00,2017-08-06 10:08:00,,14,12.0,1.0,Fuselage
1369,7,2017-08-06 00:00:00,2017-08-06 11:28:00,,14,12.0,1.0,Fuselage
1370,7,2017-08-06 00:00:00,2017-08-06 13:11:00,,14,12.0,2.0,Engine 1
1371,7,2017-08-06 00:00:00,2017-08-06 14:29:00,,14,12.0,1.0,Nose
1372,7,2017-08-06 00:00:00,2017-08-06 16:35:00,,14,12.0,1.0,Nose
1373,7,2017-08-07 00:00:00,2017-08-07 09:58:00,Nessuno,14,12.0,2.0,
1374,7,2017-08-07 00:00:00,2017-08-07 11:01:00,,14,12.0,2.0,Nose
1376,7,2017-08-08 00:00:00,2017-08-08 16:04:00,,14,12.0,1.0,
1377,7,2017-08-08 00:00:00,2017-08-08 18:08:00,Nessuno,14,12.0,1.0,Wing
1378,7,2017-08-09 00:00:00,2017-08-09 11:04:00,,14,12.0,1.0,
1379,7,2017-08-09 00:00:00,2017-08-09 11:35:00,,14,12.0,1.0,Wing
1380,7,2017-08-09 00:00:00,2017-08-09 11:35:00,,14,12.0,1.0,Wing
1381,7,2017-08-09 00:00:00,2017-08-09 13:14:00,,14,12.0,1.0,Nose
1382,7,2017-08-09 00:00:00,2017-08-09 15:00:00,,14,12.0,1.0,Nose
1383,7,2017-08-10 00:00:00,2017-08-10 18:16:00,,14,12.0,1.0,Wing/Rotor
1384,7,2017-08-12 00:00:00,2016-08-12 08:41:00,,14,12.0,1.0,Nose
1385,7,2017-08-12 00:00:00,2017-08-12 10:42:00,Nessuno,14,12.0,1.0,Fuselage
1386,7,2017-08-12 00:00:00,2017-08-12 12:37:00,,14,12.0,1.0,Fuselage
1388,7,2017-08-19 00:00:00,2017-08-19 14:53:00,,14,12.0,1.0,Nose
1390,7,2017-08-21 00:00:00,2017-08-21 09:32:00,Nessuno,14,12.0,1.0,
1391,7,2017-08-21 00:00:00,2017-08-21 10:11:00,Nessuno,14,12.0,1.0,
1392,7,2017-08-21 00:00:00,2017-08-21 11:10:00,,14,12.0,1.0,
1393,7,2017-08-22 00:00:00,2017-08-22 09:36:00,,14,12.0,1.0,Radome
1394,7,2017-08-23 00:00:00,2017-08-23 11:58:00,,14,12.0,1.0,Fuselage
1397,7,2017-08-07 00:00:00,2017-08-07 11:37:00,Nessuno,14,12.0,1.0,
1399,7,2017-09-04 00:00:00,2017-09-04 13:36:00,,14,12.0,1.0,Fuselage
1400,7,2017-09-04 00:00:00,2017-09-04 14:03:00,,14,12.0,1.0,Landing gear
1402,7,2017-09-06 00:00:00,2017-08-04 09:40:00,,14,12.0,1.0,Engine 1
1404,7,2017-09-08 00:00:00,2017-08-10 11:39:00,,14,12.0,1.0,
1405,7,2017-09-10 00:00:00,2017-08-21 09:58:00,,14,12.0,,
1406,7,2017-09-10 00:00:00,2017-09-10 13:23:00,Nessuno,14,12.0,1.0,Fuselage
1407,7,2017-09-10 00:00:00,2017-08-21 09:58:00,,14,12.0,,
1409,7,2017-09-10 00:00:00,2017-09-10 14:46:00,,14,12.0,1.0,Fuselage
1419,7,2017-10-12 00:00:00,2017-09-09 13:34:00,,14,12.0,,Fuselage
1420,7,2017-10-12 00:00:00,2017-09-23 08:38:00,,14,12.0,1.0,Nose
1423,7,2017-10-26 00:00:00,2017-09-01 11:42:00,,5,3.0,1.0,Fuselage
1429,7,2017-12-10 00:00:00,2017-11-11 10:47:00,,2,7.0,2.0,Wing
1471,7,2018-06-08 00:00:00,2018-06-08 10:20:00,,2,7.0,1.0,Nose
1473,7,2018-06-08 00:00:00,2018-06-08 17:42:00,,2,7.0,1.0,
1491,7,2018-06-29 00:00:00,2018-06-29 08:28:00,,7,6.0,,Nose
1492,7,2018-07-02 00:00:00,2018-06-04 18:45:00,,38,8.0,1.0,Wing
1496,7,2018-07-05 00:00:00,2018-07-05 14:17:00,,1440,10.0,1.0,Nose
1505,7,2018-07-21 00:00:00,2018-07-21 11:04:00,,7,6.0,1.0,Nose
1558,7,2018-10-31 00:00:00,2018-10-31 07:58:00,,7,6.0,1.0,Nose
1565,7,2019-02-16 00:00:00,2019-02-16 10:33:00,,196,5.0,1.0,Nose
1567,7,2019-02-23 00:00:00,2019-02-23 07:42:00,,2,7.0,2.0,Windshield
1581,7,2019-04-24 00:00:00,2019-04-24 07:34:00,,7,6.0,1.0,Nose
1589,7,2019-05-07 00:00:00,2019-01-11 10:05:00,,7,6.0,,Fuselage
