,id_aeroporto,data,data_,effettoSulVolo,id_specie_volatile,id_gruppo,coinvolti,parti_colpite
164,7,2016-08-22 14:54:45,2016-08-22 14:54:45,,14,12.0,1.0,
165,7,2016-08-28 00:00:00,2016-08-28 10:47:00,,14,12.0,1.0,
166,7,2016-08-06 00:00:00,2016-08-06 09:29:00,,14,12.0,3.0,
167,7,2016-09-07 00:00:00,2016-08-06 13:30:00,,14,12.0,1.0,
169,7,2016-09-11 07:01:13,2016-09-11 07:01:13,,7,6.0,1.0,
170,7,2016-09-18 15:09:47,2016-09-18 15:09:47,,7,6.0,1.0,
171,7,2016-10-06 00:00:00,2016-10-06 07:34:00,,40,15.0,1.0,
172,7,2016-10-19 15:50:21,2016-10-19 15:50:21,,7,6.0,1.0,
173,7,2016-12-27 11:50:05,2016-12-27 11:50:05,,766,14.0,1.0,
175,7,2016-08-11 00:00:00,2016-08-11 15:00:00,,14,12.0,1.0,
177,7,2016-08-22 00:00:00,2016-08-22 14:28:00,,14,12.0,1.0,
178,7,2017-03-15 17:39:13,2017-03-15 17:39:13,,40,15.0,1.0,
179,7,2017-04-20 00:00:00,2017-04-20 15:28:00,Nessuno,7,6.0,1.0,
180,7,2017-04-27 08:55:59,2017-04-27 08:55:59,,855,14.0,1.0,
181,7,2017-04-28 19:24:06,2017-04-28 19:24:06,,13,12.0,1.0,
182,7,2017-04-29 09:00:17,2017-04-29 09:00:17,,13,12.0,1.0,
183,7,2017-05-02 00:00:00,2017-05-02 12:32:00,,14,12.0,1.0,
185,7,2017-05-08 19:35:07,2017-05-08 19:35:07,,40,15.0,1.0,
186,7,2017-05-23 00:00:00,2017-05-23 17:50:00,,1440,10.0,1.0,
187,7,2017-06-06 07:35:04,2017-06-06 07:35:04,,14,12.0,1.0,
188,7,2017-06-19 00:00:00,2017-06-19 09:28:00,Nessuno,13,12.0,1.0,
189,7,2017-06-30 00:00:00,2017-06-30 09:40:00,,1121,13.0,1.0,
190,7,2017-07-04 12:00:16,2017-07-04 12:00:16,,7,6.0,1.0,
191,7,2017-07-12 08:17:15,2017-07-12 08:17:15,,14,12.0,1.0,
192,7,2017-07-16 14:36:46,2017-07-16 14:36:46,,14,12.0,1.0,
193,7,2017-07-20 00:00:00,2017-07-20 11:23:00,,5,3.0,1.0,
194,7,2017-07-26 00:00:00,2017-07-26 08:44:00,,1446,16.0,1.0,
195,7,2017-07-28 00:00:00,2017-07-28 16:38:00,Nessuno,14,12.0,1.0,
197,7,2017-07-31 00:00:00,2017-07-31 10:27:00,,14,12.0,7.0,
199,7,2017-08-02 00:00:00,2017-08-02 18:42:00,,14,12.0,1.0,
200,7,2017-08-03 00:00:00,2017-08-03 13:30:00,,14,12.0,1.0,
201,7,2017-08-03 16:48:52,2017-08-03 16:48:52,,14,12.0,1.0,
202,7,2017-08-04 00:00:00,2017-08-04 18:46:00,Nessuno,14,12.0,1.0,
203,7,2017-08-05 00:00:00,2017-08-05 11:10:00,Nessuno,14,12.0,1.0,
206,7,2017-08-06 00:00:00,2017-08-06 10:15:00,,14,12.0,1.0,
211,7,2017-08-07 00:00:00,2017-08-07 10:15:00,Nessuno,14,12.0,2.0,
213,7,2017-08-08 00:00:00,2017-08-08 16:15:00,,14,12.0,1.0,
214,7,2017-08-08 17:29:27,2017-08-08 17:29:27,,14,12.0,1.0,
216,7,2017-08-09 00:00:00,2017-08-09 11:13:00,,14,12.0,1.0,
221,7,2017-08-10 00:00:00,2017-08-10 18:42:00,,14,12.0,1.0,
222,7,2017-08-11 19:47:36,2017-08-11 19:47:36,,23,5.0,1.0,
223,7,2017-08-12 00:00:00,2017-08-12 08:46:00,,14,12.0,1.0,
226,7,2017-08-13 16:00:36,2017-08-13 16:00:36,,14,12.0,1.0,
227,7,2017-08-19 00:00:00,2017-08-19 15:53:00,,14,12.0,1.0,
228,7,2017-08-21 00:00:00,2017-08-21 09:36:00,Nessuno,14,12.0,1.0,
232,7,2017-08-22 00:00:00,2017-08-22 09:50:00,,14,12.0,1.0,
233,7,2017-08-23 00:00:00,2017-08-23 12:05:00,,14,12.0,1.0,
234,7,2017-09-01 11:54:13,2017-09-01 11:54:13,,5,3.0,1.0,
236,7,2017-09-04 00:00:00,2017-09-04 13:46:00,,14,12.0,1.0,
238,7,2017-09-09 19:03:47,2017-09-09 19:03:47,,7,6.0,1.0,
239,7,2017-09-10 00:00:00,2017-09-10 13:31:00,Nessuno,14,12.0,1.0,
241,7,2017-09-30 07:25:02,2017-09-30 07:25:02,,7,6.0,1.0,
242,7,2017-12-18 13:13:55,2017-12-18 13:13:55,,23,5.0,1.0,
243,7,2018-04-16 18:36:39,2018-04-16 18:36:39,,33,16.0,1.0,
244,7,2018-05-29 09:20:04,2018-05-29 09:20:04,,13,12.0,1.0,
245,7,2018-06-08 00:00:00,2018-06-08 10:29:00,,2,7.0,1.0,
247,7,2018-06-29 00:00:00,2018-06-29 08:37:00,,7,6.0,1.0,
248,7,2018-07-05 00:00:00,2018-07-05 14:35:00,,1440,10.0,1.0,
249,7,2018-07-21 00:00:00,2018-07-21 11:38:00,,7,6.0,1.0,
250,7,2018-07-29 12:29:16,2018-07-29 12:29:16,,7,6.0,1.0,
251,7,2018-08-03 07:38:41,2018-08-03 07:38:41,,1121,13.0,1.0,
252,7,2018-08-09 07:52:07,2018-08-09 07:52:07,,14,12.0,1.0,
253,7,2018-08-14 08:37:23,2018-08-14 08:37:23,,7,6.0,1.0,
254,7,2018-09-09 17:49:09,2018-09-09 17:49:09,,7,6.0,1.0,
255,7,2018-10-06 16:56:20,2018-10-06 16:56:20,,38,8.0,1.0,
256,7,2018-10-09 16:29:58,2018-10-09 16:29:58,,995,14.0,1.0,
257,7,2018-10-11 14:10:36,2018-10-11 14:10:36,,7,6.0,1.0,
258,7,2018-10-17 17:39:02,2018-10-17 17:39:02,,47,9.0,1.0,
259,7,2018-10-31 00:00:00,2018-10-31 08:02:00,,7,6.0,1.0,
260,7,2018-11-04 00:00:00,2018-11-03 18:45:00,,48,11.0,1.0,
261,7,2018-12-15 07:52:41,2018-12-15 07:52:41,,31,17.0,1.0,
262,7,2019-01-18 00:00:00,2019-01-18 11:00:00,,7,6.0,1.0,
263,7,2019-01-28 00:00:00,2019-01-28 08:36:00,,7,6.0,1.0,
264,7,2019-02-13 00:00:00,2019-02-13 13:39:00,,7,6.0,1.0,
265,7,2019-02-16 00:00:00,2019-02-16 10:41:00,,196,5.0,1.0,
266,7,2019-02-23 00:00:00,2019-02-23 07:45:00,,2,7.0,2.0,
267,7,2019-04-12 11:30:24,2019-04-12 11:30:24,,13,12.0,1.0,
268,7,2019-04-24 00:00:00,2019-04-24 07:43:00,,7,6.0,1.0,
269,7,2019-04-26 07:14:09,2019-04-26 07:14:09,,31,17.0,1.0,
270,7,2019-05-06 09:03:45,2019-05-06 09:03:45,,13,12.0,1.0,
271,7,2019-05-06 14:39:00,2019-05-06 14:39:00,,13,12.0,1.0,
272,7,2019-05-08 13:08:23,2019-05-08 13:08:23,,2,7.0,1.0,
273,7,2019-05-12 12:27:20,2019-05-12 12:27:20,,13,12.0,1.0,
3,7,2011-04-29 00:00:00,2011-04-29 23:30:00,Nessuno,12,11.0,1.0,Wing/Rotor
6,7,2011-06-30 00:00:00,2011-06-30 07:50:00,Atterraggio precauzionale,25,13.0,1.0,Nose
7,7,2011-06-27 00:00:00,2011-06-27 11:20:00,Nessuno,25,13.0,1.0,Radome
8,7,2011-07-15 00:00:00,2011-07-15 05:50:00,Nessuno,2,7.0,1.0,Engine 2
9,7,2011-07-05 00:00:00,2011-07-05 18:10:00,Nessuno,25,13.0,1.0,Nose
11,7,2011-09-12 00:00:00,2011-09-12 19:25:00,Nessuno,25,13.0,,Nose
12,7,2011-09-20 00:00:00,2011-09-20 20:10:00,Nessuno,25,13.0,1.0,Wing/Rotor
14,7,2011-10-23 00:00:00,2011-10-23 19:15:00,Nessuno,25,13.0,1.0,Nose
15,7,2011-10-29 00:00:00,2011-10-29 09:30:00,Nessuno,25,13.0,1.0,Wing/Rotor
16,7,2011-09-24 00:00:00,2011-09-24 19:45:00,Nessuno,25,13.0,1.0,Radome
17,7,2012-03-23 00:00:00,2012-03-23 21:43:00,Atterraggio precauzionale,25,13.0,,"Radome,Engine 1"
