,id_aeroporto,data,D_data,A_effettoSulVolo,id_specie_volatile_d,id_gruppo,D_numeroVolatili
2428,7,2015-06-05 05:57:57,2015-06-05 05:57:57,,23,5.0,1.0
2437,7,2015-06-07 09:42:16,2015-06-07 09:42:16,,13,12.0,1.0
2452,7,2015-06-13 20:49:22,2015-06-13 20:49:22,,13,12.0,1.0
2454,7,2015-06-14 18:47:35,2015-06-14 18:47:35,,7,6.0,1.0
2462,7,2015-06-17 14:33:40,2015-06-17 14:33:40,,7,6.0,1.0
2496,7,2015-07-01 00:00:00,2015-07-01 08:00:00,Nessuno,7,6.0,1.0
2518,7,2015-07-10 18:33:55,2015-07-10 18:33:55,,14,12.0,2.0
2567,7,2015-07-31 08:20:55,2015-07-31 08:20:55,,14,12.0,1.0
2619,7,2015-08-17 00:00:00,2015-08-17 15:30:00,,7,6.0,1.0
2624,7,2015-08-19 00:00:00,2015-08-19 12:47:00,,14,12.0,1.0
2635,7,2015-08-24 13:51:06,2015-08-24 13:51:06,,14,12.0,2.0
2648,7,2015-08-30 19:44:47,2015-08-30 19:44:47,,23,5.0,1.0
2666,7,2015-09-12 00:00:00,2015-09-12 14:46:00,,378,12.0,1.0
2667,7,2015-09-12 00:00:00,2015-09-12 14:47:00,,378,12.0,1.0
2682,7,2015-09-21 00:00:00,2015-09-21 11:41:00,,7,6.0,1.0
2707,7,2015-10-04 00:00:00,2015-10-04 09:09:00,,2,7.0,1.0
2724,7,2015-10-15 00:00:00,2015-10-15 16:50:00,,1453,7.0,1.0
2725,7,2015-10-18 10:26:41,2015-10-18 10:26:41,,7,6.0,1.0
2733,7,2015-10-22 00:00:00,2015-10-22 22:30:00,,31,17.0,1.0
2774,7,2015-12-02 00:00:00,2015-12-02 16:57:00,,38,8.0,1.0
2778,7,2015-12-12 00:00:00,2015-12-12 11:35:00,,1440,10.0,2.0
2779,7,2015-12-14 00:00:00,2015-12-14 08:22:00,,38,8.0,1.0
2783,7,2015-12-23 00:00:00,2015-12-23 10:31:00,,38,8.0,4.0
2792,7,2016-01-14 12:37:39,2016-01-14 12:37:39,,38,8.0,1.0
2833,7,2016-03-19 00:00:00,2016-03-19 16:16:00,,816,6.0,1.0
2879,7,2016-04-24 00:00:00,2016-04-24 10:26:00,,14,12.0,1.0
2949,7,2016-05-24 18:58:11,2016-05-24 18:58:11,,13,12.0,2.0
2961,7,2016-05-30 19:09:49,2016-05-30 19:09:49,,16,15.0,1.0
2971,7,2016-06-02 18:17:20,2016-06-02 18:17:20,,13,12.0,1.0
3072,7,2016-07-05 19:16:03,2016-07-05 19:16:03,,40,15.0,1.0
3172,7,2016-07-29 00:00:00,2016-07-29 17:47:00,,14,12.0,1.0
3196,7,2016-08-06 13:30:50,2016-08-06 13:30:50,,14,12.0,1.0
3197,7,2016-08-07 09:32:22,2016-08-07 09:32:22,,14,12.0,3.0
3208,7,2016-08-11 17:05:16,2016-08-11 17:05:16,,14,12.0,1.0
3211,7,2016-08-12 00:00:00,2016-08-12 12:23:00,,14,12.0,1.0
3212,7,2016-08-13 10:51:30,2016-08-13 10:51:30,,14,12.0,1.0
3213,7,2016-08-13 10:59:15,2016-08-13 10:59:15,,14,12.0,1.0
3214,7,2016-08-13 00:00:00,2016-08-13 11:01:00,,14,12.0,1.0
3226,7,2016-08-18 00:00:00,2016-08-18 18:19:00,,1301,14.0,4.0
3238,7,2016-08-22 14:54:45,2016-08-22 14:54:45,,14,12.0,1.0
3246,7,2016-08-28 00:00:00,2016-08-28 10:47:00,,14,12.0,1.0
3274,7,2016-08-06 00:00:00,2016-08-06 09:29:00,,14,12.0,3.0
3275,7,2016-09-07 00:00:00,2016-08-06 13:30:00,,14,12.0,1.0
3278,7,2016-09-07 00:00:00,2016-09-07 14:45:00,,14,12.0,1.0
3281,7,2016-09-11 07:01:13,2016-09-11 07:01:13,,7,6.0,1.0
3298,7,2016-09-18 15:09:47,2016-09-18 15:09:47,,7,6.0,1.0
3327,7,2016-10-06 00:00:00,2016-10-06 07:34:00,,40,15.0,1.0
3347,7,2016-10-19 15:50:21,2016-10-19 15:50:21,,7,6.0,1.0
3395,7,2016-12-27 11:50:05,2016-12-27 11:50:05,,766,14.0,1.0
3433,7,2016-08-06 00:00:00,2016-08-06 09:29:00,,14,12.0,3.0
3434,7,2016-08-11 00:00:00,2016-08-11 15:00:00,,14,12.0,1.0
